IID	PC1	PC2
ALT-744	0.1473287	-0.1806285
ALT-746	0.1455558	-0.1817981
ALT-750	0.1077253	-0.02494933
ALT-753	0.1474135	-0.1883083
ALT-756	0.1480443	-0.1805404
ALT-760	0.152117	-0.2087533
ALT-771	0.1447013	-0.1992646
ALT-774	0.1477967	-0.199882
ALT-775	0.1421128	-0.1658944
ALT-776	0.1417668	-0.1785676
ALT-845	0.1380616	-0.1230976
ALT-846	0.1384229	-0.1134547
ALT-875	0.1442741	-0.1971827
ALT-876	0.1400952	-0.1768616
ALT-900	0.1446612	-0.1949308
ALT-916	0.1437165	-0.1701171
ALT-918	0.1443579	-0.1810389
ALT-935	0.1441489	-0.1815619
ALT-952	0.1351151	-0.10259
ALT-966	0.1359849	-0.1086261
AMU-031	0.1716336	-0.3347517
AMU-039	0.170861	-0.3406726
AMU-042	0.1693647	-0.340577
AMU-049	0.1513124	-0.1663327
AMU-052	0.167356	-0.3449297
AMU-064	0.1668028	-0.3299191
AMU-066	0.1735248	-0.3410037
AMU-072	0.1687033	-0.3353897
AMU-074	0.1713015	-0.3383202
AMU-139	0.1560293	-0.2347861
AMU-156	0.1758825	-0.3419372
AMU-160	0.1696936	-0.349779
AMU-164	0.1690174	-0.345763
AMU-547	0.1718963	-0.3398581
AMU-549	0.1685326	-0.3396517
AMU-554	0.1708611	-0.3346968
AMU-555	0.1698968	-0.3347784
AMU-559	0.1729659	-0.3455726
AMU-561	0.1727444	-0.3472866
AMU-576	0.1342254	-0.07374421
AMU-596	0.1681185	-0.3397888
AMU-601	0.1753257	-0.3410715
AMU-610	0.1734711	-0.3462978
AMU-628	0.1672304	-0.3368601
AMU-631	0.1681345	-0.3488366
AMU-636	0.1695637	-0.3397258
AMU-672	0.1426964	-0.1366192
AMU-686	0.1737142	-0.3405226
AMU-696	0.1724975	-0.3341852
ARK-59	0.06276896	0.2111724
ARK-72	0.07963547	0.207499
ARK-76	0.07232696	0.205431
ARK-78	0.068457	0.215106
ARK-82	0.066381	0.216502
ARK-84	0.07266879	0.2088716
ARK-88	0.06249448	0.2107273
ARK-89	0.06953214	0.2124852
AZR-0853	0.06980497	0.1792977
AZR-0860	0.07568276	0.18009
AZR-0864	0.07796864	0.1678776
AZR-0865	0.06584568	0.1769388
AZR-0866	0.07381137	0.1741575
AZR-0868	0.07208068	0.1636488
AZR-0869	0.07454483	0.1677249
AZR-0870	0.07036377	0.168633
AZR-1010	0.06766153	0.1691726
AZR-1012	0.07262312	0.1470368
AZR-1013	0.06123458	0.1672472
AZR-1017	0.0699607	0.1569325
AZR-1018	0.06419521	0.1724331
AZR-1037	0.0741154	0.1622163
AZR-1039	0.0687528	0.1716739
AZR-1054	0.06666082	0.1761174
AZR-1058	0.06576878	0.1680673
BAS-005	0.1197708	-0.02264186
BAS-006	0.1140998	-0.01384228
BAS-008	0.123834	-0.03116933
BAS-014	0.1254368	-0.01969181
BAS-017	0.1203534	-0.02242019
BAS-021	0.1227947	-0.02186589
BAS-029	0.1182108	-0.01730919
BAS-031	0.1246003	-0.04073328
BAS-033	0.125275	-0.02757784
BAS-034	0.1169423	-0.02227245
BAS-042	0.1211831	-0.01443543
BAS-045	0.1207158	-0.02744991
BAS-046	0.1164353	-0.006103258
BAS-060	0.1192004	-0.02290961
BAS-062	0.1209069	-0.0172508
BAS-091	0.1177431	0.01102701
BAS-094	0.1105971	0.0690737
BAS-096	0.108008	0.01980184
BAS-105	0.09457046	0.1100733
BAS-111	0.1023055	0.08103254
BAS-120	0.1133545	0.01949207
BAS-121	0.1035239	0.06508602
BAS-125	0.1114265	0.05222922
BAS-135	0.1091176	0.02863875
BAS-150	0.1200101	-0.007000394
BAS-153	0.1049351	0.008862951
BAS-156	0.1209852	-0.0112985
BAS-164	0.1217051	0.004655658
BAS-600	0.1179512	-0.00452602
BAS-622	0.1118514	0.02302685
BAS-652	0.1112992	0.05859057
BAS-655	0.1153195	0.0278045
BAS-661	0.1130136	0.04547457
BAS-663	0.1171702	0.03355283
BAS-669	0.1127508	0.06513817
BAS-670	0.1154005	0.05464646
BAS-671	0.1169109	0.05335991
BAS-672	0.1161779	0.05116136
BAS-683	0.1148466	0.05180613
BAS-811	0.1012634	0.08264781
BAS-813	0.1062874	0.08748555
BAS-822	0.1132546	0.07100449
BAS-825	0.1095633	0.06631609
BAS-831	0.1070163	0.09289849
BAS-833	0.1154321	0.07389537
BAS-834	0.1106018	0.06943185
BAS-849	0.1080783	0.07052113
BAS-1392	0.1058076	0.08923912
BAS-1393	0.1143682	0.07083334
BAS-1394	0.1057674	0.07450827
BAS-1396	0.1087668	0.07475963
BAS-1398	0.1085576	0.08764136
BAS-1400	0.1106107	0.06817612
BUR-003	0.1472871	-0.2643762
BUR-008	0.1526102	-0.2669869
BUR-009	0.1572779	-0.264519
BUR-042	0.1570813	-0.2558182
BUR-047	0.1603906	-0.2616698
BUR-050	0.1545168	-0.2463792
BUR-051	0.1598329	-0.2696215
BUR-074	0.1559524	-0.267435
BUR-087	0.1516214	-0.2726847
BUR-101	0.1586847	-0.2414056
BUR-103	0.1581201	-0.2772664
BUR-124	0.1557966	-0.2651211
BUR-144	0.1579382	-0.2599364
BUR-145	0.1256642	-0.1177044
BUR-155	0.1584351	-0.2798132
BUR-158	0.1595193	-0.2767938
BUR-160	0.1556879	-0.2641509
BUR-205	0.1510103	-0.2586528
BUR-207	0.1529166	-0.2687605
BUR-215	0.1538615	-0.2609422
BUR-217	0.1535374	-0.2472407
BUR-224	0.1557401	-0.2676833
BUR-238	0.160511	-0.2872627
BUR-255	0.1608002	-0.2638525
BUR-258	0.1522332	-0.2790223
BUR-358	0.1545442	-0.2782499
BUR-382	0.1541292	-0.2494808
BUR-415	0.1495514	-0.2604799
BUR-500	0.1510256	-0.2400159
BUR-531	0.1559961	-0.2589635
BUR-562	0.1582884	-0.2643176
BUR-568	0.1559614	-0.2690733
BUR-578	0.153598	-0.2542932
BUR-587	0.1571553	-0.2538257
BUR-593	0.1444183	-0.1525781
BUR-594	0.1562324	-0.2598435
BUR-599	0.1568093	-0.2497741
BUR-605	0.1559006	-0.2513052
BUR-635	0.1557224	-0.23393
BUR-645	0.156774	-0.2579805
BUR-684	0.1541365	-0.2623255
BUR-694	0.1472415	-0.2470964
BUR-706	0.1606741	-0.2841005
BUR-707	0.1485296	-0.2171503
CHRK-544	0.08507934	0.1633498
DAG-090	0.07921878	0.1748417
DAG-122	0.08638939	0.1785485
DAG-123	0.07417688	0.1909138
DAG-124	0.07976	0.1858799
DAG-127	0.08347667	0.1823049
DAG-146	0.08557199	0.182019
DAG-147	0.0804951	0.1954326
DAG-152	0.07979886	0.1839241
DAG-160	0.08108466	0.1752555
DAG-161	0.08175973	0.1852889
DAG-165	0.08802231	0.1865538
DAG-178	0.08292903	0.1818817
DAG-180	0.08209755	0.1918688
DAG-183	0.07425616	0.1963242
DAG-200	0.08316786	0.198274
DAG-205	0.08207638	0.1894837
DAG-206	0.08428284	0.1852486
DAG-210	0.08295603	0.1878938
DAG-211	0.08321943	0.1924043
DAG-213	0.0820497	0.184088
DAG-225	0.08965955	0.1794362
DAG-231	0.08298985	0.1824469
DAG-232	0.08349068	0.1829798
DAG-325	0.0814139	0.1923095
DAG-335	0.08361224	0.1893368
DAG-336	0.08724332	0.1771167
DAG-344	0.08413921	0.1826324
DAG-350	0.08175117	0.1886729
DAG-371	0.08569001	0.1863322
DAG-372	0.0786835	0.1932369
DAG-376	0.08358722	0.1874064
DAG-388	0.08035465	0.1773013
DAG-390	0.08309505	0.1847044
DAG-400	0.08432113	0.1775761
DAG-436	0.06997609	0.1909064
DAG-448	0.08114969	0.1860508
DAG-461	0.08147089	0.1843777
DAG-474	0.08391637	0.1844217
DAG-477	0.08950748	0.1819209
DAG-485	0.0882973	0.1807005
DAG-492	0.08115644	0.1863256
DAG-506	0.08301008	0.1891266
DAG-515	0.08579616	0.1804244
DAG-529	0.07857929	0.1938348
DAG06-260	0.08109872	0.1852116
DAG06-261	0.08549738	0.1912733
DAG06-262	0.08233719	0.187664
DAG06-578	0.07735093	0.1914216
DAG06-786	0.07839388	0.1940471
DAG06-824	0.08682141	0.1805536
DAG06-826	0.08755322	0.1890771
DAG06-830	0.0829232	0.1889193
EV-004	0.1719201	-0.3145356
EV-012	0.1419275	-0.1683237
EV-023	0.1614207	-0.2676022
EV-040	0.1685488	-0.311965
EV-046	0.1407724	-0.07984378
EV-050	0.161306	-0.2714619
EV-052	0.1622265	-0.2868815
EV-069	0.1523175	-0.1941852
EV-082	0.1685683	-0.2998081
EV-110	0.1645888	-0.3104789
EV-114	0.1564168	-0.2850397
EV-132	0.1510686	-0.2740087
EV-139	0.1592582	-0.2838967
EV-147	0.1684055	-0.2957782
EV-148	0.1636235	-0.2762174
EV-175	0.1643872	-0.2737776
EZI-001	0.05784033	0.1938346
EZI-010	0.05586485	0.1826656
EZI-012	0.05610682	0.1813327
EZI-013	0.05600065	0.1866987
EZI-020	0.06465512	0.184052
EZI-029	0.0460153	0.1791752
EZI-057	0.04117885	0.1742625
EZI-060	0.05985077	0.1855583
EZI-074	0.05790367	0.1851013
GAG-183	0.08396031	0.2169705
GAG-187	0.08207972	0.2168546
GAG-188	0.08198576	0.2211209
GAG-189	0.07735558	0.2114289
GAG-196	0.08325162	0.2099677
GAG-215	0.0774409	0.2054249
GAG-220	0.07045409	0.2076517
GAG-221	0.08431267	0.2102643
GAG-226	0.06954994	0.2155985
GEO-002	0.05693461	0.1977764
GEO-005	0.07536895	0.1828051
GEO-010	0.06696861	0.2131278
GEO-015	0.06999573	0.2016392
GEO-020	0.07199439	0.221894
GEO-028	0.07495725	0.2060056
GEO-031	0.07372747	0.2060701
GEO-032	0.06767138	0.2180875
GEO-039	0.07077176	0.2075682
GEO-051	0.06847008	0.2130297
GEO-061	0.06899278	0.2021771
GEO-082	0.06880264	0.2133331
GEO001	0.06393183	0.2091527
ING-1154	0.07882461	0.1742417
ING-1167	0.0807663	0.1858094
ING-1168	0.08104733	0.1817593
ING-1169	0.08094068	0.1729198
ING-1176	0.07928388	0.1895528
ING-1177	0.08267481	0.1849722
ING-1178	0.08072786	0.1740584
ING-1179	0.08252188	0.1680275
ING-1206	0.08680148	0.1740529
ING-1330	0.07745763	0.1800466
Kab-5	0.08172554	0.1626545
Kab-10	0.0868945	0.1612642
Kab-13	0.08069672	0.1577404
Kab-16	0.08446523	0.1678083
Kab-18	0.08461798	0.132383
Kab-22	0.09459639	0.2109749
Kab-24	0.08305755	0.1792555
Kab-26	0.08271277	0.1556124
Kab-30	0.08865339	0.1565684
KAR-005	0.1006835	0.182186
KAR-008	0.1000542	0.1911108
KAR-009	0.09821049	0.1690743
KAR-030	0.1020934	0.1737535
KAR-034	0.1024465	0.170711
KAR-046	0.09786091	0.1660173
KAR-050	0.100233	0.1709104
KAR-056	0.1059726	0.1579219
KAR-060	0.1008375	0.1651835
KAR-067	0.1065666	0.1548663
KAR-087	0.1015465	0.168585
KAR-092	0.1079895	0.1633394
KAR-105	0.09640035	0.1884938
KAR-110	0.1068375	0.1602882
KAR-111	0.1036361	0.1691958
KAR-131	0.1078448	0.1690918
KAR-157	0.1049311	0.1667582
KAR-165	0.10548	0.1637935
KAR-167	0.1050281	0.1696337
KAR-173	0.1014002	0.171544
KAR-183	0.101606	0.1550419
KAR-184	0.1050983	0.1653355
KAR-187	0.1043191	0.1527235
KAR-190	0.1011323	0.175958
KAR-193	0.1000469	0.1660372
KCHE-1032	0.08724306	0.1535714
KCHE-1052	0.0958906	0.2041732
KCHE-1283	0.08411527	0.1574577
KCHE-1294	0.08643664	0.1552725
KCHE-1299	0.0926017	0.2067178
KCHE-1330	0.08243368	0.1656022
KCHE-1333	0.08361772	0.1517669
KCHE-1337	0.08159041	0.167954
KCHE-1436	0.0826023	0.1687634
KCHE-1444	0.08213046	0.173976
KCHE-1491	0.08145312	0.1591126
KCHE-1497	0.07815715	0.1636271
KCHE-1526	0.07917875	0.1759516
KCHE-1527	0.08202618	0.1638961
KCHE-1530	0.08581433	0.1569156
KCHE-1552	0.08433264	0.1663514
KCHE-1559	0.08665317	0.1480556
KCHE-1560	0.08598293	0.1598188
KHS-001	0.1362796	-0.1289653
Khs-005	0.1390136	-0.1335305
Khs-006	0.1364586	-0.1134743
Khs-007	0.1113529	-0.1220398
Khs-010	0.1364251	-0.1260527
Khs-011	0.1395787	-0.1303947
KHS-012	0.1407359	-0.1330551
KHS-034	0.1364317	-0.1022863
KHS-035	0.141736	-0.1312094
KHS-036	0.1423163	-0.1260647
KHS-049	0.1397899	-0.1385476
Khs-119	0.1428772	-0.1792871
Khs-168	0.1337734	-0.1178206
Khs-190	0.1320481	-0.1308088
Khs-301	0.1390226	-0.1666151
Khs-302	0.1484093	-0.2094922
Khs-303	0.1483856	-0.1964238
Khs-305	0.1270075	-0.09791862
Khs-306	0.1445126	-0.159002
Khs-308	0.1495789	-0.1763188
Khs-309	0.1474761	-0.1718211
Khs-402	0.1537806	-0.2000804
Khs-403	0.1478244	-0.1906862
Khs-421	0.1450308	-0.162471
Khs-422	0.1403767	-0.157736
Khs-423	0.1325866	-0.1075711
Khs-424	0.1453902	-0.1819125
Khs-425	0.1222162	-0.06077552
Khs-491	0.1469189	-0.1948594
Khs-493	0.1412651	-0.1839385
Khs-513	0.1480323	-0.1917582
Khs-527	0.1468285	-0.1954862
KKA-004	0.1101835	-0.04584725
KKA-007	0.1289022	-0.08475649
KKA-009	0.1257095	-0.1222927
KKA-011	0.1248476	-0.08440345
KKA-012	0.133497	-0.1100711
KKA-014	0.1203654	-0.08987509
KKA-016	0.1191236	-0.06451887
KKA-019	0.1159458	-0.06946896
KKA-023	0.1242864	-0.07563431
KKA-027	0.1206001	-0.08603095
KKA-040	0.1247122	-0.1031864
KKA-042	0.1291671	-0.1126988
KKA-046	0.1223645	-0.07255944
KKA-051	0.1225001	-0.0929196
KRD-5	0.06662654	0.1833783
KRD-8	0.05748523	0.190103
KRD-14	0.06231967	0.1876697
KRD-31	0.07043231	0.1893958
KRD-40	0.06707378	0.1778313
KRD-43	0.06185263	0.1928737
KRD-45	0.05697457	0.1967899
KRD-49	0.0699077	0.1964975
KRD-53	0.1157597	0.06278495
KZH-1593	0.1291615	-0.1059138
KZH-1611	0.1317002	-0.1326616
KZH-1614	0.1259874	-0.1233697
KZH-1629	0.142726	-0.134443
KZH-1633	0.1380731	-0.1277684
KZH-1650	0.1325031	-0.1293491
KZH-1680	0.1355349	-0.1425842
KZH-1689	0.1360446	-0.1511791
KZH-1696	0.1336965	-0.1259373
KZH-1708	0.136651	-0.1279473
KZH-1718	0.1232746	-0.1074796
KZH-1722	0.1369587	-0.1393848
KZH-1724	0.1332536	-0.1141142
KZH-1725	0.1397377	-0.1593481
KZH-1730	0.1377582	-0.1434628
KZH-1735	0.1370557	-0.150204
KZH-1750	0.1373568	-0.1336828
KZH-1752	0.14004	-0.1263167
LPGH-139	0.07757207	0.163072
lpgh-303	0.08385636	0.174084
MOE-001	0.09399202	0.1732569
MOE-002	0.1009494	0.1614479
MOE-010	0.09632727	0.1547723
MOE-014	0.1024596	0.1642701
MOE-015	0.102494	0.1840374
MOE-020	0.09852929	0.1708921
MOE-025	0.09797163	0.180111
MOE-036	0.09839697	0.1679599
MOE-043	0.1001192	0.1627224
MOE-045	0.09780729	0.1623668
MOE-433	0.08906678	0.1795875
MOE-445	0.09742145	0.1760974
MOE-450	0.09642303	0.1789941
MOE-451	0.1020831	0.175463
MOE-452	0.09500829	0.1826584
MOE-455	0.09541596	0.1764855
MOE-475	0.1036103	0.1778638
MOE-485	0.09898972	0.1747762
MOE-491	0.09790543	0.1755012
MOE-492	0.1029938	0.1752673
MOE-495	0.09219191	0.1950689
MOE-497	0.09961801	0.1704169
MOL-005	0.07219234	0.2220798
MOL-008	0.08388343	0.2189061
MOL-015	0.07919266	0.2041154
MOL-024	0.07964383	0.225254
MOL-058	0.08062595	0.2144588
MOL-064	0.07768116	0.2216973
MOL-065	0.07967514	0.2198484
MOL-066	0.08120561	0.2253696
MOL-067	0.08178112	0.2168534
MOL-069	0.08242144	0.2181398
MON-0006	0.1502373	-0.2647591
MON-0023	0.1532949	-0.2595126
MON-0045	0.158721	-0.2681136
MON-0078	0.1528994	-0.2641897
MON-0089	0.1532163	-0.2697439
MON-0165	0.1517917	-0.2272747
MON-0209	0.1567705	-0.2671909
MON-0263	0.1520742	-0.2468693
MON-0266	0.1540613	-0.2516068
MON-0281	0.1601835	-0.274411
MON-0292	0.1498181	-0.2470524
MON-0299	0.1599703	-0.2566275
MON-0309	0.1543063	-0.2557725
MON-0312	0.1528379	-0.2621145
MON-0328	0.1534362	-0.2806927
MON-0344	0.1565989	-0.2763651
MON-0345	0.1531926	-0.2611923
MON-0348	0.1507145	-0.2561322
MON-0352	0.1538729	-0.2760913
MON-0400	0.1516816	-0.2687607
MON-0413	0.1545206	-0.2681982
MON-0423	0.1507989	-0.2383455
MON-0425	0.1507455	-0.2355137
MON-0426	0.161093	-0.2711837
MON-0441	0.1592826	-0.2568403
MON-0444	0.1519776	-0.2532671
MON-0453	0.1409661	-0.2373084
MON-0455	0.1370367	-0.2189248
MON-0465	0.1549591	-0.2699925
MON-0483	0.1524515	-0.2466435
MON-0500	0.1495766	-0.2628511
MON-232	0.1593266	-0.2463587
MON-558	0.1591385	-0.2824624
MON-611	0.1470828	-0.2322869
NOG-15	0.1277408	-0.07759762
NOG-17	0.1329156	-0.0821128
NOG-18	0.124594	-0.06317685
NOG-19	0.1355943	-0.08585906
NOG-21	0.1292755	-0.09562741
NOG-42	0.1231312	-0.07145215
NOG-125	0.1141219	0.0193574
NOG-127	0.1244732	-0.07397995
NOG-129	0.1125647	0.0104335
NOG-130	0.1356369	-0.1192147
NOG-133	0.1236651	-0.04747622
NOG-217	0.1231653	-0.05883561
NOG-220	0.1171483	-0.01472387
NOG-224	0.1208002	-0.05868881
NOG-263	0.1276722	-0.08881402
NOG-357	0.1232785	-0.06418438
OCE-058	0.07839323	0.1718823
OCE-155	0.0830702	0.1688182
OCE-160	0.08157214	0.1779444
OCE-161	0.07709949	0.1853963
OCE-195	0.0774796	0.1788915
OCE-224	0.07195639	0.1767346
Rakr-203	0.1013155	0.1682016
Rakr-205	0.0956684	0.170188
Rakr-237	0.1005117	0.1681524
Rakr-248	0.1008829	0.1690186
Rakr-341	0.1018405	0.1565612
Rakr-345	0.1053934	0.1694567
Rakrlsh-002	0.1106708	0.1294322
Rakrlsh-140	0.1037186	0.1380851
Rakrlsh-143	0.09794156	0.1311114
Rakrlsh-144	0.1074555	0.1409124
Rakrlsh-149	0.1043557	0.1471829
Rbgp-200	0.1005486	0.2050488
Rbgp-201	0.08874678	0.2115231
Rbgp-203	0.09247181	0.2140151
Rbgp-205	0.09640988	0.2077528
Rkbo-8	0.091871	0.1650755
Rkbo-12	0.09344563	0.2122708
Rkbo-16	0.09689298	0.2030193
Rkbo-44	0.09496614	0.2031733
Rkbo-58	0.09222499	0.2162339
Rksh-402	0.0982603	0.1817878
Rksh-405	0.08871671	0.1948694
Rksh-407	0.08265484	0.1849515
Rksh-412	0.09164373	0.2040432
Rkuch-03	0.09345781	0.2095778
Rkuch-05	0.100609	0.2011396
Rkuch-53	0.08596192	0.2084858
Rkuch-58	0.09040047	0.1979015
Rorl-102	0.0969214	0.1827161
Rorl-110	0.08659438	0.2133768
Rorl-114	0.0930929	0.2082712
Rorl-155	0.08986561	0.2085321
RPin-114	0.09793259	0.1562344
RPin-123	0.1056914	0.1536443
RPin-143	0.1057197	0.1610778
RPin-145	0.08977586	0.1480053
RPin-151	0.1018725	0.1489565
Rps-001	0.07825565	0.1931244
Rps-002	0.08757543	0.2087805
Rps-004	0.08948323	0.2213714
Rps-006	0.09659698	0.2061082
Rps-012	0.09363135	0.2091598
Rps-090	0.09074833	0.1960029
Rps-091	0.08989266	0.2066411
Rps-098	0.0908523	0.1980591
Rrzm-08	0.09254314	0.2040552
Rrzm-10	0.08377262	0.1949368
Rrzm-13	0.09309708	0.1914488
Rrzm-16	0.09052625	0.1966734
Rrzm-83	0.09056563	0.1971535
Rrzs-3	0.09667678	0.2015396
Rrzs-7	0.09269267	0.1950907
Rrzs-11	0.09652739	0.2031119
Rrzs-29	0.09628581	0.1393673
Rrzs-32	0.09409516	0.1961805
Rrzs-58	0.09346175	0.1980473
Rrzs-66	0.08867879	0.1988309
Rrzs-88	0.0925288	0.1881624
Rsm-103	0.09228331	0.2103868
Rsm-109	0.09296673	0.2138016
Rsm-166	0.09049185	0.216485
Rsm-171	0.09035541	0.2168896
Rsm-176	0.08981063	0.2080082
Rsm-179	0.08582535	0.2041259
Rsm-181	0.08970145	0.2081904
RYAR-173	0.09358069	0.1940846
RYAR-223	0.09367377	0.1855801
RYAR-232	0.1004558	0.1966386
Shap-55	0.07758298	0.1851031
Shap-156	0.07889794	0.1972206
Shap-225	0.08334196	0.1807007
Shor-202	0.1476131	-0.1310164
Shor-204	0.137608	-0.1128079
Shor-209	0.1414185	-0.1166157
Shor-262	0.1326906	-0.1238541
Shor-263	0.1382946	-0.1265095
Shor-292	0.1391459	-0.1322684
Shor-293	0.1386342	-0.121205
STA-003	0.1240021	-0.04743131
STA-004	0.1227082	-0.03976635
STA-005	0.1163873	0.02082311
STA-006	0.1229519	-0.05846332
STA-112	0.120547	-0.007934649
STA-116	0.1250222	-0.04295447
STA-120	0.1210925	-0.01198668
STA-122	0.127283	-0.03293406
STA-126	0.1161961	0.002618827
STA-128	0.1240417	-0.02616198
STA-205	0.12681	-0.02569272
STA-211	0.1252375	-0.05063388
STA-212	0.1260937	-0.06259835
STA-237	0.130715	-0.07457178
STA-265	0.1309407	-0.05799895
STA-297	0.1311375	-0.06784758
STA-300	0.1265428	-0.05466455
STA-304	0.1273883	-0.02271994
STA-306	0.1225029	-0.05159468
STA-309	0.1279445	-0.07429184
STA-357	0.1283613	-0.06300553
STA-362	0.1313075	-0.06020604
STA-366	0.1319094	-0.07177991
STA-434	0.1273543	-0.0612038
STA-435	0.1334356	-0.06553298
TJ-0080	0.0848511	0.104773
TJ-0086	0.08650902	0.0990721
TJ-0091	0.08605012	0.0950028
TJ-011	0.1452216	-0.1531482
TJ-032	0.1373347	-0.1609193
TJ-038	0.1364914	-0.148371
TJ-098	0.1349795	-0.1319858
TJ-0108	0.08355978	0.1337673
TJ-0155	0.09369937	0.08791449
TJ-0484	0.08497353	0.1038851
TJ-0486	0.09274338	0.0991116
TJ-0495	0.1001913	0.07642142
TJ-0500	0.08355117	0.1027387
TJ-0517	0.09138515	0.1089469
TJ-0555	0.08780377	0.1145461
TJ-0573	0.09277353	0.1050422
TJ-0574	0.08970675	0.108756
TJ-0686	0.09698816	0.063879
TJ-0688	0.09032078	0.1109615
TJ-0796	0.09389287	0.09137182
TJ-0798	0.08348248	0.09921973
TJ-0807	0.09395885	0.08794465
TJ-0982	0.09344978	0.08414804
TJ-0984	0.09666045	0.08851011
TJ-0986	0.09722846	0.09042068
TJ-1032	0.08581216	0.1030029
TJ-1041	0.08771378	0.109636
TTR-086	0.1026966	0.1178121
TTR-094	0.1047006	0.09488955
TTR-097	0.1029642	0.1116769
TTR-201	0.1069478	0.08757477
TTR-217	0.1064793	0.1116966
TTR-241	0.1004629	0.1396539
TTR-244	0.1094064	0.1008168
TTR-245	0.1044619	0.1029379
TTR-249	0.1073034	0.1061622
TTR-250	0.1072325	0.1017919
TTR-271	0.1009809	0.1391496
TTR-272	0.1033795	0.1283713
TTR-330	0.09980707	0.1045757
TTR-356	0.100845	0.1281952
TTR-359	0.1095684	0.115124
TTR-362	0.1059601	0.1286505
TTR-436	0.1059074	0.1257336
TTR-460	0.08773351	0.1298904
TTR-462	0.1024674	0.1356541
TTR-464	0.104344	0.1285637
Ttr-473	0.1030395	0.1198575
Ttr-474	0.1080762	0.1005737
Ttr-481	0.1170654	0.08623014
TTR-493	0.1095056	0.09051247
TTR-501	0.1057809	0.09071231
Ttr-507	0.1088331	0.08357427
TTR-514	0.1056159	0.1036158
Ttr-568	0.1134057	0.09225776
Ttr-569	0.1017685	0.1379415
TUV-004	0.155148	-0.2491286
TUV-008	0.1529084	-0.2301406
TUV-024	0.1514438	-0.2262721
TUV-044	0.155326	-0.2409703
TUV-059	0.1552323	-0.2390917
TUV-062	0.157383	-0.2405267
TUV-071	0.1553629	-0.244584
TUV-096	0.1544087	-0.2310289
TUV-121	0.1603216	-0.2460869
TUV-150	0.13796	-0.1301592
TUV-195	0.1581257	-0.2544492
TUV-199	0.1626317	-0.264693
TUV-349	0.1546426	-0.2248105
TUV-392	0.1497748	-0.2192349
UDM-004	0.1168483	0.07083096
UDM-033	0.1166628	0.05870808
UDM-034	0.1180274	0.0633289
UDM-138	0.120416	0.06164222
UDM-229	0.1131839	0.07901763
UDM-254	0.1109791	0.0575905
UDM-255	0.113326	0.07894193
UDM-256	0.1112719	0.06804047
UDM-287	0.1067665	0.08906287
UDM-309	0.1152709	0.08938048
UDM-318	0.115058	0.08190507
UDM-335	0.1118043	0.07350076
UDM-349	0.1099444	0.08775546
UDM-357	0.1066581	0.08384131
UDM-362	0.1099789	0.0771681
UDM-366	0.1113247	0.08245884
UKR-1283	0.08806663	0.2176789
